id;State;Code;FuelType;Consumption
1;Arizona;AZ;Coal;160.3
2;Arizona;AZ;Natural Gas;485.0
3;Arizona;AZ;Petroleum;28.5
4;Arizona;AZ;Nuclear;330.4
5;Arizona;AZ;Hydroelectric Conventional;52.8
6;Arizona;AZ;Other Biomass;37.2
7;California;CA;Coal;28.2
8;California;CA;Natural Gas;2172.8
9;California;CA;Petroleum;451.1
10;California;CA;Nuclear;172.1
11;California;CA;Hydroelectric Conventional;129.8
12;California;CA;Other Biomass;467.1
13;Nevada;NV;Coal;35.9
14;Nevada;NV;Natural Gas;305.2
15;Nevada;NV;Petroleum; 12.1
16;Nevada;NV;Nuclear;0.0
17;Nevada;NV;Hydroelectric Conventional;17.2
18;Nevada;NV;Other Biomass;14.8
19;Alabama;AL;Coal;309.8
20;Alabama;AL;Natural Gas;739.5
21;Alabama;AL;Petroleum;37.0
22;Alabama;AL;Nuclear;480.9
23;Alabama;AL;Hydroelectric Conventional;101.9
24;Alabama;AL;Other Biomass;196.6
25;South Carolina;SC;Coal;162.6
26;South Carolina;SC;Natural Gas;350.1
27;South Carolina;SC;Petroleum;27.2
28;South Carolina;SC;Nuclear;561.7
29;South Carolina;SC;Hydroelectric Conventional;22.5
30;South Carolina;SC;Other Biomass;123.5
31;North Carolina;NC;Coal;222.5
32;North Carolina;NC;Natural Gas;637.5
33;North Carolina;NC;Petroleum;41.2
34;North Carolina;NC;Nuclear;450.4
35;North Carolina;NC;Hydroelectric Conventional;51.5
36;North Carolina;NC;Other Biomass;137.5
37;Oregon;OR;Coal;1.3
38;Oregon;OR;Natural Gas;305.7
39;Oregon;OR;Petroleum;21.9
40;Oregon;OR;Nuclear;0.0
41;Oregon;OR;Hydroelectric Conventional;244.6
42;Oregon;OR;Other Biomass;101.8
43;Georgia;GA;Coal;203.9
44;Georgia;GA;Natural Gas;773.9
45;Georgia;GA;Petroleum;44.4
46;Georgia;GA;Nuclear;354.7
47;Georgia;GA;Hydroelectric Conventional;32.4
48;Georgia;GA;Other Biomass;253.2
49;Iowa;IA;Coal;264.4
50;Iowa;IA;Natural Gas;383.4
51;Iowa;IA;Petroleum;22.9
52;Iowa;IA;Nuclear;0.0
53;Iowa;IA;Hydroelectric Conventional;8.7
54;Iowa;IA;Other Biomass;257.0
